ingredient_name,canonical_name,afcd_food_key,afcd_food_name,afcd_match_score,nutrition_basis,energy_kj,energy_kcal,protein_g,fat_total_g,carbohydrates_g,sugars_g,fibre_g,sodium_mg,cpi_category,latest_cpi_period,latest_cpi_index,cpi_monthly_pct_change,cpi_annual_pct_change,foodkeeper_product_id,foodkeeper_name,foodkeeper_subtitle,expiry_match_score,pantry_min_days,pantry_max_days,refrigerate_min_days,refrigerate_max_days,freeze_min_days,freeze_max_days
dried coconut,coconut,F002990,"Coconut, milk, canned, reduced fat",0.875,per_100_ml,293.0,70.03,0.6,7.2,0.9,0.9,0.0,15.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,257,Coconut,shredded,1.0,365,365,,,365,365
dried coriander,coriander,F003192,"Coriander, fresh, raw",1.0,per_100_g,132.0,31.55,3.1,0.6,1.9,1.2,3.2,45.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried coriander leaves,coriander leave,F003192,"Coriander, fresh, raw",0.625,per_100_g,132.0,31.55,3.1,0.6,1.9,1.2,3.2,45.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried corn kernels,corn kernel,F003202,"Corn, kernels, purchased frozen, raw",0.917,per_100_g,390.0,93.21,3.0,0.9,16.8,3.0,2.5,5.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried cracked corn,cracked corn,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried craisin,craisin,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried craisins,craisin,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried cranberries,cranberry,F003249,"Cranberry, raw",1.0,per_100_g,131.0,31.31,0.5,0.1,4.3,4.3,3.6,2.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,259,Cranberries,,1.0,,,60,60,360,360
dried cranberry beans,cranberry bean,F000431,"Bean, green, fresh, raw",0.625,per_100_g,106.0,25.33,1.8,0.0,3.3,2.6,2.8,0.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried currant,currant,F009880,"Currant, fresh",1.0,per_100_g,191.0,45.65,1.4,0.3,7.6,7.4,4.3,2.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,253,Berries,"blackberries, boysenberries, currant",0.93,,,3,6,360,360
